Player,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMax,K,D,A,FK,FD
aspas,544,1.31,260.3,1.51,0.75,175.1,0.95,0.17,0.16,0.11,0.31,0.11,47,519,344,91,89,58
OXY,383,1.24,291.1,1.26,0.75,185.6,1.01,0.22,0.24,0.17,0.29,0.18,35,387,307,86,93,66
Cryocells,457,1.24,243,1.35,0.77,161.1,0.88,0.27,0.14,0.06,0.24,0.12,33,402,298,123,65,29
eeiu,457,1.17,195.4,1.26,0.78,133.8,0.72,0.31,0.06,0.04,0.32,0.12,24,328,261,140,27,18
bang,457,1.15,210.1,1.24,0.78,132.1,0.74,0.32,0.1,0.09,0.33,0.07,21,338,273,144,47,41
heat,420,1.15,211.5,1.18,0.76,139.7,0.78,0.38,0.07,0.09,0.36,0.19,26,327,278,160,28,37
TenZ,289,1.14,224.2,1.11,0.76,138.9,0.75,0.52,0.12,0.08,0.26,0.22,28,217,196,149,34,24
valyn,584,1.14,212.2,1.15,0.76,136.3,0.77,0.34,0.11,0.09,0.27,0.20,26,450,392,198,65,50
Less,261,1.13,205.2,1.16,0.72,140.3,0.73,0.21,0.06,0.07,0.28,0.12,25,190,164,56,16,17
keznit,420,1.11,251.2,1.2,0.70,167.8,0.87,0.19,0.2,0.17,0.29,0.10,27,366,306,80,83,71
kiNgg,544,1.1,205.1,1.14,0.76,136.6,0.73,0.38,0.1,0.07,0.30,0.14,30,396,348,205,54,37
trent,584,1.08,195.5,1.05,0.72,131.5,0.68,0.32,0.08,0.08,0.28,0.20,29,395,376,189,47,46
leaf,584,1.08,221.8,1.15,0.72,147.8,0.78,0.2,0.11,0.1,0.24,0.19,28,458,400,119,63,59
Asuna,457,1.07,230.1,1.13,0.74,145.4,0.78,0.35,0.14,0.15,0.20,0.15,25,357,315,161,66,69
johnqt,289,1.07,187.5,1.12,0.76,124.9,0.67,0.31,0.06,0.07,0.27,0.19,29,194,173,91,16,19
runi,383,1.05,187.7,1.08,0.73,133.8,0.69,0.27,0.08,0.06,0.35,0.18,21,263,244,102,29,23
NaturE,280,1.04,199.7,0.98,0.69,132.5,0.69,0.37,0.05,0.06,0.32,0.12,24,192,195,104,15,18
Shyy,420,1.04,189.4,1.09,0.73,130.5,0.68,0.2,0.06,0.06,0.26,0.13,22,286,262,86,27,24
zekken,289,1.03,243.4,1.1,0.72,154,0.81,0.16,0.23,0.15,0.23,0.19,23,234,213,47,67,44
nzr,224,1.02,191.6,0.94,0.67,125.7,0.68,0.28,0.03,0.03,0.26,0.11,23,153,163,62,6,6
Zellsis,289,1.02,184,0.99,0.72,128.8,0.63,0.26,0.07,0.09,0.21,0.18,23,182,183,75,20,25
Ethan,260,1.01,191.1,0.96,0.72,122,0.65,0.43,0.07,0.1,0.21,0.17,19,168,175,112,17,25
Melser,420,1,174,1,0.71,119.9,0.63,0.28,0.08,0.08,0.32,0.15,22,263,263,119,33,34
Mazino,544,1,209.5,1.02,0.74,134.2,0.73,0.4,0.07,0.1,0.29,0.15,26,395,389,216,37,56
crashies,260,1,182.3,1.03,0.72,118.8,0.68,0.27,0.04,0.06,0.35,0.21,24,176,171,69,11,16
Derrek,280,0.99,183.2,0.95,0.68,124.6,0.66,0.27,0.05,0.04,0.33,0.20,26,184,194,76,13,12
tuyz,261,0.99,166.3,0.91,0.70,110.9,0.6,0.35,0.06,0.07,0.33,0.13,17,157,172,92,15,17
Xeppaa,383,0.99,190.3,0.93,0.77,124.1,0.65,0.48,0.07,0.07,0.27,0.21,26,248,268,183,28,27
cauanzin,261,0.98,201.8,0.95,0.74,129.9,0.69,0.32,0.1,0.08,0.27,0.18,21,179,189,84,26,20
moose,383,0.98,176.5,1.04,0.72,120.3,0.63,0.19,0.07,0.06,0.24,0.14,21,243,233,71,25,23
JonahP,584,0.96,183.6,0.89,0.74,118.9,0.61,0.45,0.05,0.09,0.27,0.10,20,356,401,262,32,51
Victor,260,0.96,212.9,1.01,0.67,139.4,0.75,0.17,0.12,0.09,0.27,0,30,195,193,44,31,24
Marved,260,0.94,189.6,0.93,0.67,125.3,0.65,0.24,0.08,0.11,0.28,0.27,21,170,182,63,22,28
jawgemo,280,0.93,217.4,0.94,0.63,146.2,0.73,0.15,0.16,0.14,0.20,0.14,29,205,218,41,46,40
frz,200,0.93,186.1,0.84,0.65,126.4,0.65,0.21,0.08,0.14,0.26,0.14,25,130,155,42,16,27
tex,544,0.93,184.8,0.97,0.71,122.4,0.65,0.17,0.11,0.12,0.35,0.12,25,352,363,95,59,63
Demon1,260,0.92,204.4,0.91,0.71,139.6,0.7,0.2,0.16,0.17,0.36,0.12,21,182,199,52,42,44
Sacy,289,0.91,161.9,0.9,0.71,111,0.58,0.3,0.06,0.07,0.32,0.12,22,168,187,86,18,21
supamen,280,0.89,184.2,0.87,0.69,122.5,0.64,0.29,0.11,0.11,0.37,0.07,23,180,208,82,31,32
saadhak,261,0.89,193.2,0.84,0.67,130.9,0.62,0.34,0.09,0.13,0.26,0.13,23,163,194,88,23,34
icy,584,0.88,187,0.89,0.68,125.3,0.66,0.19,0.14,0.15,0.26,0.15,26,385,434,110,81,90
artzin,200,0.88,204.2,0.82,0.62,137,0.7,0.19,0.14,0.18,0.26,0.11,20,139,170,37,27,35
jzz,200,0.87,196.2,0.83,0.66,135.7,0.68,0.2,0.14,0.11,0.32,0.19,19,136,164,40,28,22
C0M,544,0.86,160.8,0.8,0.71,109.2,0.54,0.29,0.09,0.07,0.22,0.15,22,293,368,158,49,40
Klaus,420,0.85,177.7,0.82,0.73,116.7,0.59,0.29,0.11,0.08,0.25,0.15,18,249,302,121,48,34
Apoth,280,0.85,174.5,0.84,0.61,119,0.6,0.21,0.11,0.15,0.37,0.17,22,168,201,58,31,42
Khalil,224,0.85,164.4,0.77,0.69,112.4,0.57,0.25,0.04,0.09,0.29,0.21,17,127,164,56,9,20
vanity,383,0.83,163.9,0.79,0.73,107.3,0.57,0.38,0.08,0.1,0.22,0.15,20,217,275,144,30,39
RgLMeister,200,0.81,156.2,0.73,0.64,105.6,0.57,0.28,0.06,0.04,0.27,0.19,21,114,157,56,12,8
Boostio,457,0.8,169.5,0.87,0.70,110.7,0.61,0.21,0.09,0.12,0.24,0.26,22,278,318,94,39,56
mwzera,224,0.78,191.5,0.77,0.63,125.1,0.66,0.21,0.1,0.17,0.20,0,23,148,191,46,22,39
Qck,261,0.77,172.8,0.79,0.61,111.9,0.6,0.11,0.15,0.2,0.23,0.06,19,156,198,28,40,53
havoc,224,0.73,178.3,0.72,0.59,124.4,0.61,0.17,0.13,0.22,0.39,0.23,20,136,188,37,28,49
kon4n,224,0.7,154.4,0.69,0.64,102.2,0.53,0.25,0.07,0.13,0.27,0.13,14,118,172,55,16,29
mazin,200,0.62,127.6,0.55,0.61,83.9,0.42,0.35,0.04,0.09,0.26,0.10,12,84,154,70,7,18
