Name,ACS,K:D,KAST,FKPR,CL%
penny,266.0,1.68,82.0,0.18,25.0
s0m,276.5,1.40,82.0,0.18,17.0
johnqt,225.3,1.42,80.0,0.05,13.0
Cryocells,258.0,1.42,83.0,0.16,27.0
bdog,212.5,1.33,79.0,0.05,0.0
dgzin,238.0,1.47,72.0,0.22,25.0
gobera,263.5,1.17,74.0,0.11,9.0
Xeppaa,296.0,1.29,78.0,0.16,22.0
keznit,221.5,1.32,74.0,0.19,0.0
jakee,221.0,1.16,82.0,0.03,0.0
aspas,231.5,1.03,72.0,0.10,0.0
Shyy,196.5,1.11,74.0,0.07,10.0
v1nny,184.3,1.11,77.0,0.04,25.0
cauanzin,233.8,1.13,67.0,0.11,33.0
Asuna,257.2,1.21,75.0,0.23,38.0
N4RRATE,212.3,0.98,79.0,0.08,0.0
stellar,204.5,1.21,76.0,0.11,100.0
eeiu,194.4,1.14,76.0,0.05,8.0
mada,234.5,1.05,67.0,0.20,0.0
Ethan,183.0,1.07,73.0,0.02,33.0
zekken,217.3,1.09,80.0,0.23,17.0
pANcada,172.8,1.08,78.0,0.07,7.0
mitch,185.0,0.97,71.0,0.10,33.0
yay,208.5,1.06,57.0,0.16,17.0
lz,200.0,0.87,66.0,0.13,25.0
NaturE,197.5,0.97,71.0,0.10,0.0
bang,188.0,1.00,79.0,0.08,20.0
icy,193.0,0.97,65.0,0.08,0.0
supamen,161.5,0.97,69.0,0.06,20.0
Verno,173.5,1.00,80.0,0.10,14.0
neT,161.0,0.94,78.0,0.06,14.0
Add3r,194.5,1.00,66.0,0.11,0.0
zander,158.6,0.85,75.0,0.08,25.0
Zellsis,163.7,0.78,74.0,0.08,13.0
nzr,166.5,0.75,54.0,0.05,14.0
silentzz,208.5,0.79,71.0,0.29,0.0
tuyz,159.8,0.79,67.0,0.08,60.0
Boostio,158.4,0.88,72.0,0.05,11.0
OXY,207.0,0.79,73.0,0.10,0.0
Derrek,161.0,0.74,73.0,0.06,0.0
v1c,137.0,0.72,73.0,0.06,0.0
Melser,141.5,0.68,65.0,0.09,0.0
FiNESSE,162.0,0.73,71.0,0.00,0.0
xenom,197.0,0.74,67.0,0.08,0.0
adverso,130.5,0.61,63.0,0.07,100.0
Mazino,168.0,0.71,60.0,0.09,0.0
pryze,104.5,0.46,66.0,0.00,0.0
artzin,134.5,0.52,56.0,0.03,0.0
Zap,144.5,0.60,71.0,0.00,0.0
cortezia,112.5,0.57,46.0,0.03,0.0
